date,Total Nonfarm Payroll,Average Hourly Earnings,Employment Cost Index,Unemployment Level,Unemployment Rate
2019-01-01,150059.0,27.59,,6475.0,4.0
2019-02-01,150065.0,27.69,,6136.0,3.8
2019-03-01,150295.0,27.77,2.8,6202.0,3.8
2019-04-01,150593.0,27.79,,5961.0,3.7
2019-05-01,150621.0,27.88,,5930.0,3.6
2019-06-01,150839.0,27.96,2.7,5935.0,3.6
2019-07-01,150936.0,28.03,,6061.0,3.7
2019-08-01,151171.0,28.14,,5945.0,3.6
2019-09-01,151365.0,28.16,2.8,5753.0,3.5
2019-10-01,151460.0,28.23,,5871.0,3.6
2019-11-01,151668.0,28.34,,5868.0,3.6
2019-12-01,151795.0,28.38,2.7,5853.0,3.6
2020-01-01,152031.0,28.43,,5869.0,3.6
2020-02-01,152292.0,28.54,,5753.0,3.5
2020-03-01,150895.0,28.74,2.8,7206.0,4.4
2020-04-01,130424.0,30.04,,23084.0,14.8
2020-05-01,133040.0,29.72,,20929.0,13.2
2020-06-01,137671.0,29.38,2.7,17652.0,11.0
2020-07-01,139255.0,29.39,,16352.0,10.2
2020-08-01,140819.0,29.5,,13461.0,8.4
2020-09-01,141770.0,29.51,2.4,12554.0,7.8
2020-10-01,142461.0,29.55,,11072.0,6.9
2020-11-01,142731.0,29.64,,10694.0,6.7
2020-12-01,142548.0,29.91,2.5,10770.0,6.7
2021-01-01,142913.0,29.92,,10236.0,6.4
2021-02-01,143422.0,30.07,,9995.0,6.2
2021-03-01,144246.0,30.04,2.6,9756.0,6.1
2021-04-01,144611.0,30.23,,9762.0,6.1
2021-05-01,145032.0,30.41,,9266.0,5.8
2021-06-01,145828.0,30.55,2.9,9462.0,5.9
2021-07-01,146759.0,30.66,,8731.0,5.4
2021-08-01,147246.0,30.79,,8276.0,5.1
2021-09-01,147712.0,30.96,3.7,7652.0,4.7
2021-10-01,148569.0,31.15,,7279.0,4.5
2021-11-01,149206.0,31.25,,6751.0,4.2
2021-12-01,149781.0,31.41,4.0,6398.0,3.9
2022-01-01,150006.0,31.62,,6512.0,4.0
2022-02-01,150875.0,31.66,,6301.0,3.8
2022-03-01,151346.0,31.82,4.5,6014.0,3.7
2022-04-01,151651.0,31.96,,6002.0,3.7
2022-05-01,151892.0,32.1,,5983.0,3.6
2022-06-01,152353.0,32.2,5.1,5951.0,3.6
2022-07-01,153049.0,32.35,,5768.0,3.5
2022-08-01,153286.0,32.44,,5919.0,3.6
2022-09-01,153513.0,32.55,5.0,5792.0,3.5
2022-10-01,153913.0,32.7,,5964.0,3.6
2022-11-01,154210.0,32.84,,5943.0,3.6
2022-12-01,154336.0,32.96,5.1,5766.0,3.5
2023-01-01,154780.0,33.05,,5747.0,3.5
2023-02-01,155086.0,33.16,,5962.0,3.6
2023-03-01,155171.0,33.28,4.8,5839.0,3.5
2023-04-01,155387.0,33.42,,5751.0,3.4
2023-05-01,155614.0,33.52,,6089.0,3.6
2023-06-01,155871.0,33.69,4.5,5958.0,3.6
2023-07-01,156019.0,33.84,,5920.0,3.5
2023-08-01,156176.0,33.89,,6284.0,3.7
2023-09-01,156334.0,33.99,4.3,6326.0,3.8
2023-10-01,156520.0,34.07,,6479.0,3.9
2023-11-01,156661.0,34.19,,6254.0,3.7
2023-12-01,156930.0,34.31,4.2,6315.0,3.8
2024-01-01,157049.0,34.47,,6149.0,3.7
2024-02-01,157271.0,34.54,,6462.0,3.9
2024-03-01,157517.0,34.67,4.2,6497.0,3.9
2024-04-01,157635.0,34.75,,6492.0,3.9
2024-05-01,157828.0,34.89,,6635.0,4.0
2024-06-01,157915.0,35.0,4.1,6849.0,4.1
2024-07-01,158003.0,35.07,,7097.0,4.2
2024-08-01,158074.0,35.23,,7071.0,4.2
2024-09-01,158314.0,35.33,3.9,6901.0,4.1
2024-10-01,158358.0,35.48,,6972.0,4.1
2024-11-01,158619.0,35.61,,7121.0,4.2
2024-12-01,158942.0,35.68,3.8,6886.0,4.1
2025-01-01,159053.0,35.83,,6849.0,4.0
2025-02-01,159155.0,35.9,,7052.0,4.1
2025-03-01,159275.0,36.02,3.6,7083.0,4.2
2025-04-01,159433.0,36.08,,7166.0,4.2
2025-05-01,159452.0,36.23,,7237.0,4.2
2025-06-01,159439.0,36.31,3.6,7015.0,4.1
2025-07-01,159511.0,36.43,,7236.0,4.2
2025-08-01,159507.0,36.58,,7384.0,4.3
2025-09-01,159626.0,36.67,3.5,7603.0,4.4
